house,state,mp_name,constituency,mp_number,work_id,work_category,ida,work_description,completion_date,amount_disbursed,image_url,has_image,elected_nominated
LS,Bihar,Pradeep Kumar Singh,ARARIA,418,WS/MP418/2024-2025/133409,Normal/Others,ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA),"PCC Road from Permeshwar Bhagat house to Ramdev Master house at ward no 15, uder Forbesganj Block.",2024-09-05,448127.0,,False,
LS,Punjab,Sarabjeet Singh Khalsa,FARIDKOT(SC),18152,WS/MP18152/2024-2025/133691,Normal/Others,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Bajakhana (Bus adda),2025-04-07,300000.0,,False,
LS,Kerala,Shri NK Premachandran,KOLLAM,345,WS/MP345/2024-2025/134140,Normal/Others,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),"Concreting of road from Janathavayanasala -  Panthaplavil, ward no.6  Thrikkaruva GP, in  Kollam Constituency",2024-08-12,293492.0,,False,
LS,Punjab,Sarabjeet Singh Khalsa,FARIDKOT(SC),18152,WS/MP18152/2024-2025/133686,Normal/Others,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school bajakhana main,2025-04-07,300000.0,,False,
LS,Punjab,Sarabjeet Singh Khalsa,FARIDKOT(SC),18152,WS/MP18152/2024-2025/133690,Normal/Others,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Dal Singh Wala,2025-04-07,300000.0,,False,
LS,Punjab,Sarabjeet Singh Khalsa,FARIDKOT(SC),18152,WS/MP18152/2024-2025/133689,Normal/Others,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Rauwala,2025-04-07,300000.0,,False,
LS,Kerala,Shri NK Premachandran,KOLLAM,345,WS/MP345/2024-2025/134143,Normal/Others,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),"Construction of Building for Brothers Library & Reading room, Puthenchantha at  Panmana Grama panchayath in Chavara Constituency.",2024-10-28,1182588.0,Images,True,
LS,Kerala,Shri NK Premachandran,KOLLAM,345,WS/MP345/2024-2025/134144,Normal/Others,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Construction of Head Quarter Building  for Perumon Thanal Charitable Trust in Panayam Grama Panchayat of Kollam Constituency (2nd  reach),2024-08-17,338444.0,,False,
LS,Punjab,Sarabjeet Singh Khalsa,FARIDKOT(SC),18152,WS/MP18152/2024-2025/133694,Normal/Others,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Pakka No.4,2025-04-07,300000.0,,False,
LS,Punjab,Sarabjeet Singh Khalsa,FARIDKOT(SC),18152,WS/MP18152/2024-2025/133696,Normal/Others,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Installation of RO System and water cooler in Govt Primary school Pakka No.4,2025-04-07,84500.0,,False,
