experiment_id,name,run_id,suite,w_anomaly,w_vendor,w_compliance,w_timeline,two_tier_floor,hard_violation_capture_rate_top10,hard_violation_pr_auc,score_gini_coefficient,critical_alert_count,critical_alert_pct,execution_time_sec,status
1,exp_00_baseline_standard,7f9f8effbc0640c6a0e11f53d8613262,baseline,0.35,0.3,0.2,0.15,85.0,1.0,0.996,0.2921,15731,15.95,0.178,SUCCESS
2,exp_01_anomaly_only,079033325ea04a569799557a5c5ea9e1,single_component_isolated,1.0,0.0,0.0,0.0,85.0,0.1416,0.5178,0.2878,27671,28.05,0.195,SUCCESS
3,exp_02_vendor_only,992cdaa7b32c40bf99cfe1b48e0360a5,single_component_isolated,0.0,1.0,0.0,0.0,85.0,0.1183,0.5805,0.479,24557,24.89,0.138,SUCCESS
4,exp_03_compliance_only,5bdbd51f618848e7a5f1dab426bb74ec,single_component_isolated,0.0,0.0,1.0,0.0,85.0,1.0,0.8816,0.6251,18561,18.82,0.079,SUCCESS
5,exp_04_timeline_only,15d0bb3ab3714fd0b4980e8fcef75685,single_component_isolated,0.0,0.0,0.0,1.0,85.0,0.1121,0.581,0.4715,24521,24.86,0.137,SUCCESS
6,exp_05_pair_anomaly_vendor,4ad7358b999f4ad08d4bcbb69c528da0,pairwise_two_at_a_time,0.55,0.45,0.0,0.0,85.0,1.0,0.8707,0.2717,17790,18.03,0.122,SUCCESS
7,exp_06_pair_anomaly_compliance,7420e61db80e410d9aeb3821c20a3f49,pairwise_two_at_a_time,0.6,0.0,0.4,0.0,85.0,1.0,0.9715,0.3016,16045,16.26,0.145,SUCCESS
8,exp_07_pair_anomaly_timeline,fec75243ff1248d0993309f173a4b4ba,pairwise_two_at_a_time,0.7,0.0,0.0,0.3,85.0,1.0,0.845,0.2586,17950,18.2,0.128,SUCCESS
9,exp_08_pair_vendor_compliance,228dc22397d54a7c9d806d3b47dacd69,pairwise_two_at_a_time,0.0,0.6,0.4,0.0,85.0,1.0,0.9509,0.4855,16095,16.32,0.132,SUCCESS
10,exp_09_pair_vendor_timeline,58c4739bd2ce479695139b183e6e9787,pairwise_two_at_a_time,0.0,0.65,0.0,0.35,85.0,1.0,0.832,0.409,18070,18.32,0.125,SUCCESS
11,exp_10_pair_compliance_timeline,678e034813384f0f9a3598ada5fa4d15,pairwise_two_at_a_time,0.0,0.0,0.6,0.4,85.0,1.0,0.9404,0.5281,16531,16.76,0.142,SUCCESS
12,exp_11_loo_exclude_anomaly,8b99db7005dc4c39acb66a1e5ea6dacb,leave_one_out,0.0,0.45,0.35,0.2,85.0,1.0,0.9768,0.4508,15904,16.12,0.166,SUCCESS
13,exp_12_loo_exclude_vendor,83abac075336434a924adc187ac88238,leave_one_out,0.5,0.0,0.3,0.2,85.0,1.0,0.984,0.2903,15877,16.09,0.17,SUCCESS
14,exp_13_loo_exclude_compliance,a970130bc1104a45a3333e9a7c050072,leave_one_out,0.45,0.35,0.0,0.2,85.0,1.0,0.9692,0.2602,16131,16.35,0.088,SUCCESS
15,exp_14_loo_exclude_timeline,603577741975407e9df683dfe1fa880e,leave_one_out,0.4,0.35,0.25,0.0,85.0,1.0,0.9928,0.2997,15753,15.97,0.14,SUCCESS
16,exp_15_equal_weights,f316884620f249cdb78dbc7e611d51b4,policy_profiles,0.25,0.25,0.25,0.25,85.0,1.0,0.9967,0.3224,15721,15.94,0.106,SUCCESS
17,exp_16_statutory_heavy,4224a54513934fdb895968fa725d0bcf,policy_profiles,0.15,0.2,0.5,0.15,85.0,1.0,0.9939,0.3984,15749,15.96,0.174,SUCCESS
18,exp_17_forensic_heavy,68d1eaf69e584580af2602051cb957b6,policy_profiles,0.45,0.3,0.15,0.1,85.0,1.0,0.9931,0.2731,15771,15.99,0.143,SUCCESS
19,exp_18_cartel_heavy,24f83def14684671b6250c6c983dec1d,policy_profiles,0.2,0.5,0.15,0.15,85.0,1.0,0.9927,0.3423,15777,15.99,0.178,SUCCESS
20,exp_19_pure_percentiles_no_floor,770e2888fb494983ab4556b0a08c9b88,threshold_variations,0.35,0.3,0.2,0.15,None,0.2423,0.3088,0.2477,125,0.13,0.143,SUCCESS
21,exp_20_hard_floor_90,d815ee6f4d6946109335802796d8cf7f,threshold_variations,0.35,0.3,0.2,0.15,90.0,1.0,0.9995,0.3017,15731,15.95,0.141,SUCCESS
22,exp_21_tight_thresholds,fd23bd80e51a4ba29c4c609d88bbc9cc,threshold_variations,0.35,0.3,0.2,0.15,85.0,1.0,0.996,0.2921,15731,15.95,0.158,SUCCESS
