experiment_id,name,run_id,is_baseline,feature_set,feature_count,scaler,n_estimators,contamination,max_samples,max_features,bootstrap,test_score_separation_ratio,test_contrast_margin,test_score_kurtosis,test_score_iqr,test_anomalies_detected,test_anomaly_rate_pct,test_statutory_rule_auc,train_time_sec,status
1,exp_00_baseline,f52651d40a724624a9d981fb591119a8,True,canonical,4,none,200,0.05,auto,1.0,False,3.3766,27.38,3.8595,10.824,353,1.79,0.5096,1.367,SUCCESS
2,exp_01_canonical_e100_c002,40fb203d864f4c7bbc7cc5740bdbbbec,False,canonical,4,none,100,0.02,auto,0.75,False,4.1311,32.59,4.4071,10.0205,141,0.71,0.4476,0.569,SUCCESS
3,exp_02_canonical_e200_c002,9063604ed2c4481cb1196060f5e47583,False,canonical,4,standard,200,0.02,1.0,0.75,False,4.3717,21.95,8.6572,4.9889,83,0.42,0.4657,1.772,SUCCESS
4,exp_03_canonical_e100_c005,ff72a1acff8a479ea8f3a0bf4d79720a,False,canonical,4,none,100,0.05,0.75,0.75,False,3.4454,17.35,8.2826,5.2208,156,0.79,0.4657,0.967,SUCCESS
5,exp_04_canonical_e200_c005,287860a534a248a5a2e656331d699d91,False,canonical,4,robust,200,0.05,auto,0.75,True,3.3578,26.23,5.0009,9.578,333,1.69,0.449,0.909,SUCCESS
6,exp_05_canonical_e100_c008,c95063a20b3a49b2b311cbee495efb41,False,canonical,4,none,100,0.08,1.0,1.0,False,2.96,15.99,7.1487,6.1064,263,1.33,0.4958,0.837,SUCCESS
7,exp_06_canonical_e200_c008,7e90d315316a4a3c83b8a0ff5edf49c3,False,canonical,4,robust,200,0.08,0.75,1.0,False,2.9181,15.78,7.1111,6.1145,258,1.31,0.5098,2.042,SUCCESS
8,exp_07_financial_velocity_e100_c002,fff216c8611b4ba9b789cfe0a82b6738,False,financial_velocity,6,standard,100,0.02,auto,1.0,False,4.0835,29.14,3.6593,9.1327,100,0.51,0.4999,0.488,SUCCESS
9,exp_08_financial_velocity_e200_c002,b8579daa8b8c4da0919c3cd203e7c6eb,False,financial_velocity,6,robust,200,0.02,1.0,1.0,True,4.3506,22.06,7.1935,6.2718,98,0.5,0.4973,1.767,SUCCESS
10,exp_09_financial_velocity_e100_c005,6f28133132044cca995a81c57f4af803,False,financial_velocity,6,standard,100,0.05,0.75,1.0,True,3.3657,16.74,7.5879,6.2135,173,0.88,0.5065,0.894,SUCCESS
11,exp_10_financial_velocity_e300_c005,7b6e742a64eb4396b2c235be1e3e2042,False,financial_velocity,6,none,300,0.05,auto,1.0,True,3.3283,23.89,4.0553,9.2438,295,1.5,0.4962,1.296,SUCCESS
12,exp_11_financial_velocity_e100_c008,89089279801344ec8194d9901f406d4a,False,financial_velocity,6,robust,100,0.08,auto,0.75,False,2.8116,19.04,4.48,8.2494,417,2.11,0.4706,0.566,SUCCESS
13,exp_12_financial_velocity_e300_c008,6497d16240e54dc7bf3f233e85af7c65,False,financial_velocity,6,none,300,0.08,1.0,0.75,False,2.9158,12.05,9.7137,4.5391,178,0.9,0.4675,2.867,SUCCESS
14,exp_13_cartel_concentration_e100_c002,37fba59efd5f44dc96a1ceb9b7fea079,False,cartel_concentration,6,robust,100,0.02,0.75,0.75,False,4.2291,19.85,10.306,5.0962,92,0.47,0.5553,1.02,SUCCESS
15,exp_14_cartel_concentration_e300_c002,9d1352caa9db49db9e452334f78b571a,False,cartel_concentration,6,standard,300,0.02,auto,0.75,False,4.3209,31.76,5.1891,8.8171,111,0.56,0.5323,1.603,SUCCESS
16,exp_15_cartel_concentration_e100_c005,c306e7d4baac4fe79780e29035c50d9c,False,cartel_concentration,6,robust,100,0.05,1.0,0.75,True,3.0143,15.23,7.973,5.6505,151,0.77,0.5434,0.954,SUCCESS
17,exp_16_cartel_concentration_e300_c005,b03f7e514cab4be985c7908843a7eee3,False,cartel_concentration,6,standard,300,0.05,0.75,0.75,True,3.0465,15.04,8.753,5.6838,157,0.8,0.5404,2.471,SUCCESS
18,exp_17_cartel_concentration_e200_c008,ece2a9d8708843f1a3d4561baa6cfdc0,False,cartel_concentration,6,none,200,0.08,auto,0.75,True,2.91,21.54,5.4389,8.5541,548,2.78,0.5331,0.981,SUCCESS
19,exp_18_cartel_concentration_e300_c008,fb283ffcdb9249f18584baed431517f6,False,cartel_concentration,6,standard,300,0.08,1.0,1.0,False,2.5417,13.52,7.8476,6.112,227,1.15,0.5543,2.468,SUCCESS
20,exp_19_multimodal_ensemble_e200_c002,44e71209cb124f48bbe0e48a05ca07ba,False,multimodal_ensemble,8,none,200,0.02,0.75,1.0,False,3.9433,20.26,5.4098,6.5305,73,0.37,0.5533,1.903,SUCCESS
21,exp_20_multimodal_ensemble_e300_c002,709728ec762e45b9aa8269451713ff1d,False,multimodal_ensemble,8,robust,300,0.02,auto,1.0,False,3.9307,27.26,3.0322,9.8071,102,0.52,0.5398,1.453,SUCCESS
22,exp_21_multimodal_ensemble_e200_c005,eabc5b69e4044ce6811aa5245d0bb994,False,multimodal_ensemble,8,none,200,0.05,1.0,1.0,True,3.018,16.76,4.3264,6.9055,157,0.8,0.5537,1.71,SUCCESS
23,exp_22_multimodal_ensemble_e300_c005,ba28987a982c4bfd90842f07293e254e,False,multimodal_ensemble,8,robust,300,0.05,0.75,1.0,True,2.9751,16.48,4.3598,6.8495,154,0.78,0.558,2.38,SUCCESS
24,exp_23_multimodal_ensemble_e200_c008,adfd21eb0f6f4e6487d8b76c4e376a7e,False,multimodal_ensemble,8,standard,200,0.08,auto,1.0,True,2.7776,19.12,3.5446,9.4197,357,1.81,0.5398,0.867,SUCCESS
