experiment_id,name,run_id,suite,features,feature_count,excluded_feature,scaler,C,penalty,test_roc_auc,test_pr_auc,test_f1,test_accuracy,test_brier_score,train_time_sec,status
1,baseline_all_7,7c62e16b660d4ff2ae3f7c5ee6dedb1b,baseline,"log_amount,spend_ratio,spend_pace,days_norm,anomaly_score,compliance_score,vendor_conc",7,none,standard,1.0,l2,0.9535,0.7927,0.6311,0.8861,0.0875,0.074,SUCCESS
2,loo_exclude_log_amount,967558010d9d40bca1e5b985e9d95205,leave_one_out,"spend_ratio,spend_pace,days_norm,anomaly_score,compliance_score,vendor_conc",6,log_amount,standard,1.0,l2,0.9533,0.7926,0.6334,0.8873,0.0877,0.229,SUCCESS
3,loo_exclude_spend_ratio,e1d902b7170046d6975c9319938121ac,leave_one_out,"log_amount,spend_pace,days_norm,anomaly_score,compliance_score,vendor_conc",6,spend_ratio,standard,1.0,l2,0.8851,0.4528,0.4445,0.7847,0.1467,0.042,SUCCESS
4,loo_exclude_spend_pace,75f12559fd9b40d6adb9b23783c38977,leave_one_out,"log_amount,spend_ratio,days_norm,anomaly_score,compliance_score,vendor_conc",6,spend_pace,standard,1.0,l2,0.9518,0.7852,0.6295,0.8858,0.0886,0.05,SUCCESS
5,loo_exclude_days_norm,29e42b65896c451fadc26abd23613c05,leave_one_out,"log_amount,spend_ratio,spend_pace,anomaly_score,compliance_score,vendor_conc",6,days_norm,standard,1.0,l2,0.9447,0.7417,0.6253,0.882,0.0951,0.041,SUCCESS
6,loo_exclude_anomaly_score,520c16c28a2942819b37dcdd20bfebff,leave_one_out,"log_amount,spend_ratio,spend_pace,days_norm,compliance_score,vendor_conc",6,anomaly_score,standard,1.0,l2,0.9222,0.8369,0.5506,0.8507,0.1022,0.036,SUCCESS
7,loo_exclude_compliance_score,cd92b71f37be444f8e2a4ff645664736,leave_one_out,"log_amount,spend_ratio,spend_pace,days_norm,anomaly_score,vendor_conc",6,compliance_score,standard,1.0,l2,0.856,0.3118,0.4591,0.7946,0.1627,0.034,SUCCESS
8,loo_exclude_vendor_conc,7fc997bde5af4b1a973c74bdca627325,leave_one_out,"log_amount,spend_ratio,spend_pace,days_norm,anomaly_score,compliance_score",6,vendor_conc,standard,1.0,l2,0.9513,0.7822,0.6246,0.8836,0.0898,0.05,SUCCESS
9,single_spend_ratio,1f7e287ac4644111a2a43ea5d51fd0e5,single_feature_in,spend_ratio,1,all_except_spend_ratio,standard,1.0,l2,0.3885,0.0814,0.2095,0.2663,0.2463,0.016,SUCCESS
10,single_spend_pace,3c2c2dd03d4f4a6bb8f19df86671f24f,single_feature_in,spend_pace,1,all_except_spend_pace,standard,1.0,l2,0.6571,0.1735,0.2506,0.7322,0.2395,0.053,SUCCESS
