experiment_id,name,run_id,suite,representation,threshold,algorithm,state_partitioning,filter_govt_agencies,compression_ratio,govt_agency_purity,composite_score,total_aliases,execution_time_sec,status
1,exp_00_nlp_production_baseline,55876cfc31764c2c8fd6d56f34536291,baseline,char_wb_2_4,0.82,nearest_neighbors_union_find,True,True,0.0214,0.9987,0.0214,107.0,2.105,SUCCESS
2,threshold_70,a6e3d5ef1b0848b69a56557ca41172db,threshold_tuning,char_wb_2_4,0.7,nearest_neighbors_union_find,True,True,0.0869,0.9929,0.0863,434.0,2.059,SUCCESS
3,threshold_75,191d14581ab44ec8a74ebf907fa5d23b,threshold_tuning,char_wb_2_4,0.75,nearest_neighbors_union_find,True,True,0.0498,0.9959,0.0496,249.0,1.755,SUCCESS
4,threshold_80,025dff55e9314471a0aed63f6c8e8034,threshold_tuning,char_wb_2_4,0.8,nearest_neighbors_union_find,True,True,0.0292,0.9987,0.0292,146.0,2.264,SUCCESS
5,threshold_85,a9716531326f4be0a6f8a5524ad8b224,threshold_tuning,char_wb_2_4,0.85,nearest_neighbors_union_find,True,True,0.0138,0.9987,0.0138,69.0,2.182,SUCCESS
6,threshold_90,3ee11a948eaa4b568dc4fb4a44a1719c,threshold_tuning,char_wb_2_4,0.9,nearest_neighbors_union_find,True,True,0.0054,1.0,0.0054,27.0,1.745,SUCCESS
7,rep_char_wb_3_5,4b5ca871c8644638983dc7b289df180a,representation_ablation,char_wb_3_5,0.82,nearest_neighbors_union_find,True,True,0.0384,0.9973,0.0383,192.0,2.312,SUCCESS
8,rep_word_1_2,28085994cd1b470cbfca69d9ec121134,representation_ablation,word_1_2,0.82,nearest_neighbors_union_find,True,True,0.1195,1.0,0.1195,597.0,1.595,SUCCESS
9,rep_hybrid_char_word,2c4fab227b0f44c1ba2dc73408d4ed93,representation_ablation,hybrid_char_word,0.82,nearest_neighbors_union_find,True,True,0.0186,0.9973,0.0185,93.0,1.607,SUCCESS
10,algo_agglomerative_average,d687e8593b1f443ebf03ca67ed60cfca,algorithm_ablation,char_wb_2_4,0.82,agglomerative_average,True,True,0.0174,0.9987,0.0174,87.0,2.753,SUCCESS
11,algo_dbscan,d58f13535fa34fc08368a9420cf50cd7,algorithm_ablation,char_wb_2_4,0.82,dbscan,True,True,0.0214,0.9987,0.0214,107.0,2.234,SUCCESS
12,ablation_no_state_partition,3c3386476af14030bd538f823462f54e,preprocessing_ablation,char_wb_2_4,0.82,nearest_neighbors_union_find,False,True,0.0464,0.9987,0.0463,232.0,3.972,SUCCESS
13,ablation_no_govt_filter,6c0c06e186814caabed4acfcf30662fa,preprocessing_ablation,char_wb_2_4,0.82,nearest_neighbors_union_find,True,False,0.0214,1.0,0.0214,107.0,1.918,SUCCESS
14,ablation_no_suffix_cleaning,c45d4ad24d794800b012b32d6408e85a,preprocessing_ablation,char_wb_2_4,0.82,nearest_neighbors_union_find,True,True,0.0218,0.9987,0.0218,109.0,2.294,SUCCESS
15,ablation_raw_cross_state,86dbac65733a4f338139389e77e2444e,preprocessing_ablation,char_wb_2_4,0.82,nearest_neighbors_union_find,False,False,0.0506,1.0,0.0506,253.0,2.762,SUCCESS
16,high_precision_th88_char35,13cb2b486dd14bc7b600d44753809078,preprocessing_ablation,char_wb_3_5,0.88,nearest_neighbors_union_find,True,True,0.0156,1.0,0.0156,78.0,1.989,SUCCESS
17,high_recall_th78_hybrid,164588bd58104b5aa8e2b04ab3275aae,preprocessing_ablation,hybrid_char_word,0.78,nearest_neighbors_union_find,True,True,0.0336,0.9959,0.0335,168.0,1.56,SUCCESS
18,strict_statutory_word_th85,21f045e9133a431a81bc1b879d00cf95,preprocessing_ablation,word_1_2,0.85,nearest_neighbors_union_find,True,True,0.1171,1.0,0.1171,585.0,1.428,SUCCESS
